TX_ID,BLOCK_ID,BLOCK_TIMESTAMP,SENDER,MSG_KEY,MSG_VALUE,ASSET1_EXPONENT,ASSET2_EXPONENT,ASSET1_SYMBOL,ASSET1_AMOUNT,ASSET2_SYMBOL,ASSET2_AMOUNT,ASSET1_PRICE,ASSET2_PRICE
9F57020C033F5372059B13C1A907F23725AFFFE316B675D8E4452C58FADEBD67,4711867,2022-06-08 00:44:12.847,osmo12apcjlfq0wmmn60flu0znl5mf5nplkwpdc3xhf,tokens_out,null,6,9,ATOM,0.056922,LIKE,205.25555579,8.887505354,0.002648130189
B9CEB4E9E660487BA3A5139F4B6D20420FCACD1A07A751D79C0F5565A6CEAC9B,4712609,2022-06-08 02:01:10.714,osmo19l9wsymdh3mp7munzrlk8rs03ttnu2uaujyktu,tokens_out,null,6,9,ATOM,5.660873,LIKE,21009.508151027,8.887505354,0.002648130189
673273BB1932CA3B7CB64696301E594E3EE1CB9F184B6820A8E5D007D60CC96A,4709406,2022-06-07 20:28:51.145,osmo108ss9dsdya700yjzvvz9ad5zaf4c9tpaqxy3n8,tokens_out,null,6,9,ATOM,18.433242,LIKE,65938.884068357,8.887505354,0.002648130189
5F7E6B3D416339BCA10274BD667F1D2D02F0EF010570751896A131A019CD127F,4710654,2022-06-07 22:38:21.211,osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,tokens_in,null,6,6,ATOM,0.045749,DARC,147.45026,8.887505354,0.002775643055
DB1260A716E63FDF03F3BD10880B166EF49A9B6648C553D5B07C1DE56934EE58,4710861,2022-06-07 22:59:49.448,osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,tokens_in,null,6,6,ATOM,0.001577,BCNA,0.995591,8.887505354,0.01416210761
CA9B768D6A9B3EE2105E83C7931EEDF3E21972A5BA8692341083E0999B0B506D,4712498,2022-06-08 01:49:34.335,osmo1c3xhz65yh5qj78rp5tprkckdga263wfl7mmgp7,tokens_out,null,6,6,ATOM,7.89681,BTSG,4318.989871,8.887505354,0.01682809127
F730B39F1DED5F31948D70C0085F594CCDE5A09F4F41F972BC9E1887E0D243EE,4709741,2022-06-07 21:03:46.554,osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,tokens_in,null,6,6,ATOM,0.00114,BTSG,0.616308,8.887505354,0.01682809127
D5DC7D61CBDCDFB307CA4606C14CD67A855B218DE9029B0BC2F01F4F9F552025,4712500,2022-06-08 01:49:47.044,osmo1c3xhz65yh5qj78rp5tprkckdga263wfl7mmgp7,tokens_out,null,6,6,ATOM,2.63227,BTSG,1439.66329,8.887505354,0.01682809127
2B73E619FAEFC517E7DF98BB3EEA1FCFC3305E176BB1EBEC9C78375FDB0FEA62,4711569,2022-06-08 00:13:07.221,osmo1wfyaqhxsczc4mlgk54trxznmqkld09p79phzqn,tokens_out,null,6,6,ATOM,1.790362,BTSG,971.748387,8.887505354,0.01682809127
ECD5468B24D0C4B2BA199F00AD0BB375F6BF32F3C5A14C1341741BB4F7B12CB5,4711562,2022-06-08 00:12:22.175,osmo1wfyaqhxsczc4mlgk54trxznmqkld09p79phzqn,tokens_out,null,6,6,ATOM,3.580725,BTSG,1943.496775,8.887505354,0.01682809127
